,congress,chamber,result,description,vote_result_category,democratic_yes,democratic_no,democratic_present,democratic_not_voting,democratic_majority_position,republican_yes,republican_no,republican_present,republican_not_voting,republican_majority_position,independent_yes,independent_no,independent_present,independent_not_voting,total_yes,total_no,total_present,total_not_voting,pass
3871,112,Senate,Bill Passed,"A bill to reauthorize Federal-aid highway and highway safety construction programs, and for other purposes.",pass,50,0,0,1,Yes,22,22,0,3,None,2,0,0,0,74,22,0,4,pass
3872,112,Senate,Motion Rejected,To permit emergency exemptions from compliance with certain laws for highway construction projects.,not pass,1,49,0,1,No,41,3,0,3,Yes,0,2,0,0,42,54,0,4,not pass
3873,112,Senate,Amendment Agreed to,"To express the sense of the Senate that Federal agencies should ensure that all applicable environmental reviews, approvals, licensing, and permit requirements under Federal law are completed on an expeditious basis after a disaster or emergency.",pass,50,0,0,1,Yes,24,20,0,3,Yes,2,0,0,0,76,20,0,4,pass
3874,112,Senate,Amendment Rejected,To allow States to permit nonhighway uses in rest areas along any highway.,not pass,2,49,0,0,No,9,36,0,2,No,1,1,0,0,12,86,0,2,not pass
3875,112,Senate,Motion Rejected,"To lower the FY13 discretionary budget authority cap as set in the Balanced Budget and Emergency Deficit Control Act of 1985 by $11,000,000,000 in order to offset the general fund transfers to the Highway Trust Fund.",not pass,0,51,0,0,No,40,5,0,2,Yes,0,2,0,0,40,58,0,2,not pass
3876,112,Senate,Amendment Rejected,To free States to spend gas taxes on their transportation priorities.,not pass,0,51,0,0,No,30,15,0,2,Yes,0,2,0,0,30,68,0,2,not pass
3877,112,Senate,Amendment Rejected,To modify the appointment formula to ensure that the percentage of apportioned funds received by a State is the same as the percentage of total gas taxes paid by the State.,not pass,4,47,0,0,No,24,21,0,2,Yes,0,2,0,0,28,70,0,2,not pass
3878,112,Senate,Amendment Rejected,"To amend the Internal Revenue Code of 1986 to modify certain tax credits relating to energy, and for other purposes.",not pass,44,7,0,0,Yes,6,39,0,2,No,1,1,0,0,51,47,0,2,not pass
3879,112,Senate,Amendment Rejected,To amend the Internal Revenue Code of 1986 to terminate certain energy tax subsidies and lower the corporate income tax rate.,not pass,0,51,0,0,No,26,19,0,2,Yes,0,2,0,0,26,72,0,2,not pass
3880,112,Senate,Amendment Rejected,To prevent a tax increase on American businesses and to provide certainty to job creators by extending certain expiring tax credits relating to energy.,not pass,47,4,0,0,Yes,0,45,0,2,No,2,0,0,0,49,49,0,2,not pass
