"","bill","introduced","title","area","sponsor.party","cosponsors.r","cosponsors.d","cosponsors.i","status"
"7099","SRES450","2018-03-22","A resolution reaffirming the United States-Egypt partnership and the Egyptian people's right to free, fair, credible, and peaceful elections on March 26, 2018.","international affairs","R",0,1,0,"Introduced"
"7101","SRES36","2017-02-01","An original resolution authorizing expenditures by the Senate Committee on Indian Affairs.","congress","R",0,0,0,"Introduced"
"7102","SRES400","2018-02-09","A resolution designating the week beginning on February 5, 2017, as ""National Tribal Colleges and Universities Week"".","native americans","D",8,14,0,"Passed senate"
"7125","SRES397","2018-02-07","Expressing support for designation of the week of February 6, 2017, through February 10, 2017, as ""National School Counseling Week"".","education","D",3,12,1,"Passed senate"
"7142","SRES547","2018-06-14","Recognizing June 19, 2017, as this year's observance of the historical significance of Juneteenth Independence Day.","civil rights and liberties, minority issues","R",14,32,1,"Passed senate"
"7190","SRES395","2018-02-07","A resolution expressing the sense of the Senate that ambush marketing adversely affects the United States Olympic and Paralympic teams.","sports and recreation","R",2,2,0,"Introduced"
"7195","SRES412","2018-02-15","A resolution expressing the sense of the Senate regarding the 6888th Central Postal Directory Battalion and celebrating Black History Month.","civil rights and liberties, minority issues","R",0,0,0,"Passed senate"
"7196","SRES410","2018-02-15","A resolution commemorating the life of Luis Alejandro ""Alex"" Villamayor and calling for justice and accountability.","international affairs","D",0,1,0,"Introduced"
"7198","SRES451","2018-03-22","A resolution recognizing the significance of endometriosis as an unmet chronic disease for women and designating March 2018 as ""Endometriosis Awareness Month"".","health","D",0,1,0,"Introduced"
"7200","SRES445","2018-03-22","A resolution marking the 6-month anniversary of the devastation of Puerto Rico and the United States Virgin Islands by Hurricane Maria.","emergency management","D",1,11,1,"Passed senate"
"7214","SRES389","2018-01-30","A resolution commemorating the commissioning of the USS Omaha.","armed forces and national security","R",1,0,0,"Passed senate"
"7216","SRES377","2018-01-23","A resolution recognizing the importance of paying tribute to those individuals who have faithfully served and retired from the Armed Forces of the United States, designating April 18, 2018, as ""Military Retiree Appreciation Day"", and encouraging the people of the United States to honor the past and continued service of military retirees to their local communities and the United States.","armed forces and national security","D",7,15,0,"Passed senate"
"7239","SRES379","2018-01-23","A resolution to authorize the production of records by the Permanent Subcommittee on Investigations of the Committee on Homeland Security and Governmental Affairs.","congress","R",0,1,0,"Passed senate"
"7241","SRES354","2017-12-07","Expressing the sense of the House of Representatives regarding the courageous work and life of Argentine prosecutor Alberto Nisman, and calling for a swift and transparent investigation into his tragic death in Buenos Aires on January 18, 2015.","international affairs","R",0,1,0,"Introduced"
"7243","SRES448","2018-03-22","A resolution designating March 2018 as ""National Women's History Month"".","civil rights and liberties, minority issues","D",3,21,2,"Passed senate"
"7270","SRES419","2018-03-01","Expressing support for the designation of ""National Eating Disorders Awareness Week"" and supporting the goals and ideals to raise awareness and understanding of eating disorders.","health","R",0,1,0,"Passed senate"
"7272","SRES414","2018-02-27","A resolution condemning the continued undemocratic measures by the Government of Venezuela to undermine the independence of democratic institutions and calling for a free and fair electoral process.","international affairs","D",0,14,1,"Introduced"
"7288","SRES41","2017-02-01","A resolution raising awareness and encouraging the prevention of stalking by designating January 2017 as ""National Stalking Awareness Month"".","crime and law enforcement","D",2,2,0,"Passed senate"
"7293","SRES428","2018-03-08","Recognizing the heritage, culture, and contributions of Latinas in the United States.","arts, culture, religion","D",0,27,1,"Introduced"
"7322","SRES94","2017-03-23","A resolution designating March 2017 as ""National Read Aloud Month"".","education","R",0,1,0,"Passed senate"
"7324","SRES411","2018-02-15","A resolution recognizing the 50th anniversary of the first 9-1-1 call in the United States.","science, technology, communications","D",1,1,0,"Introduced"
"7327","SRES126","2017-04-07","A resolution expressing support for the designation of the week of April 9 through April 13, 2018, as ""National Assistant Principals Week"".","education","D",2,1,0,"Introduced"
"7331","SRES355","2017-12-07","A resolution improving procedures for the consideration of nominations in the Senate.","congress","R",4,0,0,"Introduced"
"7336","SRES662","2018-09-28","Expressing support for the designation of September 2017 as ""Campus Fire Safety Month"".","education","R",0,1,0,"Passed senate"
"7338","SRES425","2018-03-07","Supporting the designation of March 2017, as National Colorectal Cancer Awareness Month.","health","R",0,1,0,"Passed senate"
"7340","SRES437","2018-03-19","A resolution supporting the goals of World Tuberculosis Day to raise awareness about tuberculosis.","international affairs","D",1,0,0,"Introduced"
"7342","SRES38","2017-02-01","A resolution recognizing January 30, 2018, as ""Fred Korematsu Day of Civil Liberties and the Constitution"".","civil rights and liberties, minority issues","D",0,14,1,"Introduced"
"7358","SRES413","2018-02-15","A resolution celebrating Black History Month.","civil rights and liberties, minority issues","D",13,13,0,"Passed senate"
"7385","SRES133","2017-04-07","A resolution congratulating the University of North Carolina Tar Heels basketball team for winning the 2016-2017 National Collegiate Athletic Association men's basketball national championship.","sports and recreation","R",1,0,0,"Passed senate"
"7387","SRES326","2017-11-09","Recognizing the crew of the San Antonio Rose, B-17F, who sacrificed their lives during World War II, and honoring their memory during the week of the 75th anniversary of that tragic event.","armed forces and national security","D",5,6,0,"Passed senate"
"7399","SRES444","2018-03-22","A resolution recognizing the heritage, culture, and contributions of American Indian, Alaska Native, and Native Hawaiian women in the United States.","native americans","R",3,16,1,"Passed senate"
"7420","SRES376","2018-01-23","A resolution urging the Governments of Burma and Bangladesh to ensure the safe, dignified, voluntary, and sustainable return of the Rohingya refugees who have been displaced by the campaign of ethnic cleansing conducted by the Burmese military.","international affairs","D",6,12,0,"Introduced"
"7439","SRES418","2018-02-28","Expressing support for designation of March 21, 2017, as ""National Rosie the Riveter Day"".","labor and employment","D",2,3,0,"Passed senate"
"7445","SRES482","2018-04-24","A resolution congratulating the Villanova University Wildcats for winning the 2018 National Collegiate Athletic Association Division I Men's Basketball Tournament.","sports and recreation","D",1,0,0,"Passed senate"
"7447","SRES599","2018-07-30","Expressing support for the designation of September 25, 2017, as ""National Lobster Day"".","agriculture and food","I",1,7,0,"Passed senate"
"7456","SRES431","2018-03-12","A resolution supporting the goals and ideals of ""International Parental Child Abduction Month"" and expressing the sense of the Senate that Congress should raise awareness of the harm caused by international parental child abduction.","international affairs","R",2,2,0,"Passed senate"
"7461","SRES352","2017-12-07","A resolution designating the week of December 3 through December 9, 2017, as ""National Nurse-Managed Health Clinic Week"".","health","R",0,1,0,"Passed senate"
"7463","SRES370","2018-01-09","A resolution to constitute the minority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.","congress","D",0,0,0,"Passed senate"
"7464","SRES503","2018-05-10","A resolution commemorating the tricentennial of the City of San Antonio, Texas.","government operations and politics","R",1,0,0,"Passed senate"
"7466","SRES467","2018-04-16","A resolution notifying the House of Representatives of the election of a Sergeant at Arms and Doorkeeper of the Senate.","congress","R",0,0,0,"Passed senate"
"7467","SRES358","2017-12-12","A resolution designating December 3, 2018, as ""National Phenylketonuria Awareness Day"".","health","R",0,1,0,"Passed senate"
"7469","SRES443","2018-03-22","A resolution recognizing the 196th anniversary of the independence of Greece and celebrating democracy in Greece and the United States.","international affairs","D",6,19,0,"Passed senate"
"7495","SRES429","2018-03-08","Expressing support for the human rights and religious freedom of the Tibetan people and the Tibetan Buddhist faith community, and for the designation of a ""Tibetan Rights Day"".","international affairs","D",2,1,0,"Passed senate"
"7499","SRES453","2018-04-10","A resolution expressing support for the designation of the week of April 10 through April 14, 2017 as ""National Assistant Principals Week"".","education","D",0,1,0,"Introduced"
"7501","SRES398","2018-02-07","A resolution supporting the observation of ""National Girls & Women in Sports Day"" on February 7, 2018, to raise awareness of and celebrate the achievements of girls and women in sports.","sports and recreation","D",2,3,0,"Passed senate"
"7507","SRES442","2018-03-22","A resolution expressing solidarity with the United Kingdom after the nerve agent attack in Salisbury.","international affairs","D",2,1,0,"Introduced"
"7511","SRES462","2018-04-12","Supporting the goals and ideals of National Public Health Week.","health","D",0,13,1,"Introduced"
"7526","SRES439","2018-03-19","Supporting the goals and ideals of Multiple Sclerosis Awareness Week.","health","D",3,6,0,"Introduced"
"7536","SRES365","2017-12-21","A resolution congratulating the University of Nebraska-Lincoln volleyball team for winning the 2017 National Collegiate Athletic Association Division I Volleyball Championship.","sports and recreation","R",1,0,0,"Passed senate"
"7538","SRES28","2017-01-30","A resolution designating January 27, 2017, as ""Earned Income Tax Credit Awareness Day"".","taxation","D",0,7,0,"Introduced"
