"","bill","introduced","title","area","sponsor.party","cosponsors.r","cosponsors.d","cosponsors.i","status"
"1892","SRES686","2018-11-13","A resolution honoring the life, accomplishments, and legacy of Lodi Gyaltsen Gyari.","international affairs","D",0,1,0,"Introduced"
"1894","SRES66","2017-02-17","Supporting the goals and ideals of Career and Technical Education Month.","labor and employment","D",10,19,1,"Passed senate"
"1925","SRES676","2018-10-11","A resolution to recognize the importance of National Disability Employment Awareness Month.","labor and employment","D",0,1,0,"Introduced"
"1927","SRES637","2018-09-18","Expressing support for the designation of September 2018 as ""National Kinship Care Month"".","families","D",4,9,1,"Passed senate"
"1942","SRES25","2017-01-24","A resolution designating January 27, 2017, as a national day of remembrance for people of the United States who, during the Cold War, worked and lived downwind from nuclear testing sites and were adversely affected by the radiation exposure generated by the above ground nuclear weapons testing.","armed forces and national security","R",1,3,0,"Introduced"
"1947","SRES640","2018-09-18","A resolution recognizing September 26, 2017, as ""National Voter Registration Day"".","government operations and politics","D",1,0,0,"Passed senate"
"1949","SRES634","2018-09-18","A resolution commemorating the 70th anniversary of the Berlin Airlift and honoring the veterans of Operation Vittles.","international affairs","R",1,1,0,"Introduced"
"1952","SRES699","2018-11-15","A resolution designating November 4, 2017, as National Bison Day.","transportation and public works","R",1,1,0,"Passed senate"
"1955","SRES656","2018-09-27","A resolution recognizing and supporting the goals and ideals of National Forensic Science Week.","science, technology, communications","R",1,1,0,"Passed senate"
"1958","SRES653","2018-09-26","A resolution expressing support for the designation of October 20, 2017, as the ""National Day on Writing"".","education","D",1,0,0,"Introduced"
"1960","SRES654","2018-09-26","A resolution supporting the goals and ideals of National Retirement Security Week, including raising public awareness of the various tax-preferred retirement vehicles, increasing personal financial literacy, and engaging the people of the United States on the keys to success in achieving and maintaining retirement security throughout their lifetimes.","finance and financial sector","R",3,4,0,"Passed senate"
"1968","SRES644","2018-09-24","A resolution recognizing the significant contribution of the Country Music Association and designating September 25, 2018, ""Country Music Association Day"".","arts, culture, religion","R",0,1,0,"Passed senate"
"1970","SRES481","2018-04-24","Calling upon the leadership of the Government of the Democratic People's Republic of Korea to dismantle its labor camp system, and for other purposes.","international affairs","R",6,7,1,"Introduced"
"1985","SRES647","2018-09-25","Calling for the global repeal of blasphemy, heresy, and apostasy laws.","international affairs","R",0,1,0,"Introduced"
"1987","SRES73","2017-02-28","A resolution designating February 28, 2018, as ""Rare Disease Day"".","health","D",3,9,0,"Passed senate"
"2000","SRES645","2018-09-24","A resolution designating September 2017 as ""National Prostate Cancer Awareness Month"".","health","D",3,6,0,"Passed senate"
"2010","SRES65","2017-02-17","A resolution designating March 2, 2018, as ""National Speech and Debate Education Day"".","education","R",0,1,0,"Passed senate"
"2012","SRES18","2017-01-23","Reaffirming the United States-Argentina partnership and recognizing Argentina's economic reforms.","international affairs","D",3,3,0,"Introduced"
"2019","SRES649","2018-09-25","Recognizing the contributions of American Viticultural Areas and winegrowing regions.","agriculture and food","R",0,2,0,"Passed senate"
"2022","SRES658","2018-09-27","A resolution designating the week of October 1 through 7, 2017, as ""National Community Policing Week"".","crime and law enforcement","D",1,1,0,"Passed senate"
"2025","SRES643","2018-09-24","A resolution condemning the brutal and senseless attack at a country music festival in Las Vegas, Nevada, honoring the memory of the victims of the deadly shooting, offering condolences to, and expressing support for, the families and friends of the victims and all of the individuals who were affected by the attack, and applauding the dedication and bravery of law enforcement officers, firefighters, paramedics, emergency medical technicians, medical professionals, hotel security and staff, and community members in responding to the attack.","crime and law enforcement","R",0,1,0,"Passed senate"
"2027","SRES651","2018-09-25","A resolution marking 1 year since the landfall of Hurricane Maria in Puerto Rico and the United States Virgin Islands.","emergency management","D",1,12,1,"Passed senate"
"2042","SRES655","2018-09-26","Recognizing Hispanic Heritage Month and celebrating the heritage and culture of Latinos in the United States and the immense contributions of Latinos to the United States.","civil rights and liberties, minority issues","D",3,25,1,"Passed senate"
"2072","SRES652","2018-09-25","A resolution remembering the 1-year anniversary of the landfall of Hurricane Irma in Florida.","emergency management","R",0,1,0,"Passed senate"
"2074","SRES660","2018-09-28","Expressing support for the designation of the week of September 23 through September 29, 2018, as Rail Safety Week in the United States, and supporting the goals and ideals of Rail Safety Week to reduce rail-related accidents, fatalities, and injuries.","transportation and public works","D",2,1,0,"Introduced"
"2078","SRES70","2017-02-27","A resolution recognizing the 75th anniversary of Executive Order 9066 and expressing the sense of the Senate that policies that discriminate against any individual based on the actual or perceived race, ethnicity, national origin, or religion of that individual would be a repetition of the mistakes of Executive Order 9066 and contrary to the values of the United States.","civil rights and liberties, minority issues","D",0,28,1,"Introduced"
"2108","SRES674","2018-10-11","Expressing support for designation of October 2017 as ""National Principals Month"".","education","R",0,1,0,"Passed senate"
"2110","SRES666","2018-10-04","A resolution designating October 6, 2018, as ""National Coaches Day"".","sports and recreation","R",0,0,0,"Introduced"
"2111","SRES624","2018-09-06","Commemorating Arthur Ashe, a native of Richmond, Virginia, on the 50th anniversary of his historic win at the 1968 United States Open Tennis Championship and honoring his humanitarian contributions to civil rights, education, the movement against apartheid in South Africa, and HIV/AIDS awareness.","sports and recreation","D",1,2,0,"Passed senate"
"2115","SRES209","2017-06-28","A resolution commemorating the 40th Anniversary of the Silicon Valley Leadership Group, the preeminent public policy trade association in Silicon Valley.","commerce","D",0,1,0,"Passed senate"
"2117","SRES661","2018-09-28","A resolution expressing support for the designation of September 2017 as ""Sickle Cell Disease Awareness Month"" in order to educate communities across the United States about sickle cell disease and the need for research, early detection methods, effective treatments, and preventative care programs with respect to sickle cell disease, complications from sickle cell disease, and conditions related to sickle cell disease.","health","R",2,4,0,"Passed senate"
"2124","SRES665","2018-10-02","A resolution designating October 2017 as ""National Employee Ownership Month"".","labor and employment","D",4,9,2,"Introduced"
"2140","SRES667","2018-10-04","Condemning violence against religious minorities in the People's Republic of China and any actions that limit the free expression and practice of faith by these minorities.","international affairs","R",11,8,0,"Introduced"
"2160","SRES685","2018-10-12","A resolution to authorize testimony and representation of Senate employee in United States v. Adam Albrett, etc.","congress","R",0,1,0,"Passed senate"
"2162","SRES669","2018-10-04","A resolution supporting the designation of September 2017 as ""National Alcohol and Drug Addiction Recovery Month"".","health","I",1,0,0,"Passed senate"
"2164","SRES394","2018-02-06","A resolution recognizing January 2017 as National Mentoring Month.","education","R",3,7,0,"Passed senate"
"2175","SRES675","2018-10-11","Expressing support for the designation of the week beginning on October 14, 2018, as National Wildlife Refuge Week.","public lands and natural resources","D",1,0,0,"Introduced"
"2177","SRES668","2018-10-04","A resolution designating October 5, 2017, as ""Energy Efficiency Day"" in celebration of the economic and environmental benefits that have been driven by private sector innovation and Federal energy efficiency policies put in place over the past 4 decades.","energy","D",6,14,0,"Passed senate"
"2198","SRES728","2018-12-13","A resolution amending rule XXII of the Standing Rules of the Senate to limit debate on motions to proceed.","congress","D",0,0,0,"Introduced"
"2199","SRES680","2018-10-11","A resolution calling on Congress, schools, and State and local educational agencies to recognize the significant educational implications of dyslexia that must be addressed, and designating October 2017 as ""National Dyslexia Awareness Month"".","education","R",1,3,0,"Passed senate"
"2204","SRES673","2018-10-11","A resolution recognizing the 80th anniversary of Ingalls Shipbuilding.","armed forces and national security","R",1,0,0,"Introduced"
"2206","SRES689","2018-11-15","Acknowledging the 50th anniversary of the election of Shirley Anita St. Hill Chisholm, the first African-American woman in Congress.","congress","D",0,0,0,"Introduced"
"2207","SRES672","2018-10-10","A resolution expressing the sense of Congress that electric cooperative voluntary energy reduction programs reduce energy consumption and save participants money.","energy","D",1,0,0,"Passed senate"
"2209","SRES684","2018-10-11","A resolution relative to the death of the Honorable Joseph D. ""Joe"" Tydings, former United States Senator for the State of Maryland.","congress","D",0,1,0,"Passed senate"
"2211","SRES704","2018-11-26","Expressing support for the goals of National Adoption Day and National Adoption Month by promoting national awareness of adoption and the children awaiting families, celebrating children and families involved in adoption, and encouraging the people of the United States to secure safety, permanency, and well-being for all children.","families","R",11,15,1,"Passed senate"
"2239","SRES57","2017-02-09","A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.","congress","R",0,0,0,"Passed senate"
"2240","SRES713","2018-12-03","A resolution celebrating the 160th anniversary of the Ladies Christian Association, which became the Young Women's Christian Association.","social welfare","D",1,0,0,"Introduced"
"2242","SRES705","2018-11-26","A resolution designating December 3, 2017, as ""National Phenylketonuria Awareness Day"".","health","R",0,1,0,"Passed senate"
"2244","SRES692","2018-11-15","Recognizing November 25, 2017, as ""Small Business Saturday"" and supporting efforts to increase awareness of the value of locally owned small businesses.","commerce","R",21,22,1,"Passed senate"
"2289","SRES280","2017-10-03","A resolution designating the week of October 2 through October 6, 2017, as ""National Health Information Technology Week"" to recognize the value of health information technology in transforming and improving the healthcare system for all people in the United States.","health","D",1,1,1,"Passed senate"
"2293","SRES116","2017-04-05","A resolution condemning the Assad regime for its continued use of chemical weapons against the Syrian people.","international affairs","D",3,9,0,"Introduced"
"2306","SRES678","2018-10-11","Expressing support for the designation of the month of October 2018 as Filipino American History Month and celebrating the history and culture of Filipino Americans and their immense contributions to the United States.","immigration","D",2,12,1,"Introduced"
"2322","SRES683","2018-10-11","Recognizing and commemorating the bicentennial of the State of Illinois.","government operations and politics","D",0,1,0,"Passed senate"
"2324","SRES69","2017-02-27","A resolution celebrating Black History Month.","civil rights and liberties, minority issues","D",20,33,1,"Passed senate"
"2379","SRES392","2018-02-06","A resolution commemorating the success of the United States Olympic and Paralympic Teams in the past 23 Olympic Winter Games and 11 Paralympic Winter Games and supporting the United States Olympic and Paralympic Teams in the 2018 Olympic Winter Games and Paralympic Winter Games.","sports and recreation","D",3,1,0,"Introduced"
"2384","SRES691","2018-11-15","A resolution reaffirming the centrality of press freedom and freedom of expression to democracy in the United States and to international peace and stability.","civil rights and liberties, minority issues","D",0,4,1,"Introduced"
"2390","SRES476","2018-04-18","A resolution designating April 2017 as ""National 9-1-1 Education Month"".","emergency management","D",1,0,0,"Passed senate"
"2392","SRES693","2018-11-15","A resolution celebrating October 25, 2018, as the 30th anniversary of the passage of the Women's Business Ownership Act of 1988, while commending the unique entrepreneurial spirit shared by women small business owners of the United States.","commerce","R",14,14,0,"Passed senate"
"2421","SRES707","2018-11-27","Commemorating the 40th anniversary of the Indian Child Welfare Act of 1978.","native americans","D",2,17,2,"Passed senate"
"2443","SRES710","2018-11-28","A resolution supporting Lights On Afterschool, a national celebration of afterschool programs held on October 26, 2017.","education","R",0,1,0,"Passed senate"
"2445","SRES736","2018-12-19","A resolution urging the establishment of a Cyber League of Indo-Pacific States to address cyber threats.","international affairs","R",0,1,0,"Introduced"
"2447","SRES690","2018-11-15","Affirming the importance of the Orphan Drug Act, applauding its lifesaving contributions over its 35-year history, and recognizing the need to continue supporting research and development for rare diseases.","health","R",0,0,0,"Introduced"
"2448","SRES709","2018-11-27","A resolution condemning Russia's provocative actions in the Kerch Strait against the Ukrainian navy.","international affairs","R",33,22,0,"Passed senate"
"2504","SRES702","2018-11-15","Recognizing National Native American Heritage Month and celebrating the heritages and cultures of Native Americans and the contributions of Native Americans to the United States.","native americans","R",9,16,1,"Passed senate"
"2531","SRES715","2018-12-05","A resolution honoring the life of President George Herbert Walker Bush.","government operations and politics","R",50,47,2,"Passed senate"
"2631","SRES698","2018-11-15","A resolution designating November 4, 2017, as National Bison Day.","animals","R",9,13,0,"Passed senate"
"2654","SRES706","2018-11-26","A resolution to authorize representation by the Senate Legal Counsel in the case of Jacob R. Kent, et al., v. R.L. Vallee, Inc., et al.","congress","R",0,1,0,"Passed senate"
"2656","SRES679","2018-10-11","Expressing support for the designation of October 16 as World Food Day.","agriculture and food","D",2,1,0,"Introduced"
"2660","SRES716","2018-12-06","Urging the Government of Nigeria and Nigeria's political parties to ensure electoral accountability and work toward holding credible, peaceful, and transparent elections in February 2019.","international affairs","D",0,0,0,"Introduced"
"2661","SRES694","2018-11-15","Condemning the anti-Semitic attack on the building housing three congregations, Tree of Life, Dor Hadash, and New Light, honoring the memory of the victims of the attack, and offering condolences to and expressing support for their families, friends, and community.","crime and law enforcement","R",50,47,2,"Passed senate"
"2761","SRES703","2018-11-15","Expressing support for the goals and ideas of ""Stomach Cancer Awareness Month"".","health","R",0,2,0,"Introduced"
"2764","SRES711","2018-11-29","A resolution designating November 2017 as ""National Runaway Prevention Month"".","families","D",2,3,0,"Passed senate"
"2770","SRES725","2018-12-13","A resolution modifying extended debate in the Senate to improve the legislative process.","congress","D",0,0,0,"Introduced"
"2771","SRES221","2017-07-19","A resolution designating September 25, 2018, as ""National Lobster Day"".","agriculture and food","I",1,7,0,"Passed senate"
"2780","SRES714","2018-12-05","A resolution expressing the sense of the Senate that Crown Prince Mohammed bin Salman bin Abd al Aziz Al Saud of Saudi Arabia be held accountable for contributing to the humanitarian crisis in Yemen, preventing a resolution to the blockade of Qatar, the jailing and torture of dissidents and activists inside the Kingdom of Saudi Arabia, the use of force to intimidate rivals, and the abhorrent and unjustified murder of journalist Jamal Khashoggi.","international affairs","R",2,3,0,"Introduced"
"2786","SRES718","2018-12-10","A resolution establishing the John S. McCain III Human Rights Commission.","congress","D",3,2,0,"Introduced"
"2792","SRES424","2018-03-06","A resolution honoring the 25th anniversary of the National Guard Youth Challenge Program.","armed forces and national security","D",3,3,0,"Passed senate"
"2799","SRES71","2017-02-28","Expressing the sense of Congress that John Arthur ""Jack"" Johnson should receive a posthumous pardon for the racially motivated conviction in 1913 that diminished the athletic, cultural, and historic significance of Jack Johnson and unduly tarnished his reputation.","crime and law enforcement","R",0,1,0,"Introduced"
"2801","SRES734","2018-12-19","A resolution authorizing the Senate Legal Counsel to represent the Senate in Texas v. United States, No. 4:18-cv-00167-O (N.D. Tex.).","congress","D",0,39,2,"Introduced"
"2843","SRES719","2018-12-11","A resolution designating December 16, 2017, as ""Wreaths Across America Day"".","armed forces and national security","R",0,0,1,"Passed senate"
"2845","SRES732","2018-12-17","A resolution expressing the sense of the Senate that the United States should recognize Israel's sovereignty over the Golan Heights.","international affairs","R",1,0,0,"Introduced"
"2847","SRES408","2018-02-15","Expressing support for the human rights and religious freedom of the Tibetan people and the Tibetan Buddhist faith community, and for the designation of a ""Tibetan Rights Day"".","international affairs","D",1,1,0,"Introduced"
"2850","SRES393","2018-02-06","A resolution making minority party appointments for the 115th Congress.","congress","D",0,0,0,"Passed senate"
"2851","SRES717","2018-12-06","A resolution honoring the life and legacy of Rebecca Teresa Weichhand.","families","D",7,10,1,"Passed senate"
"2870","SRES721","2018-12-11","A resolution designating the week beginning on October 22, 2017, as ""National Chemistry Week"".","science, technology, communications","D",1,0,0,"Passed senate"
"2872","SRES324","2017-11-08","Expressing support for the designation of November 9, 2017, as ""National Diabetes Heart Health Awareness Day"", coinciding with American Diabetes Month.","health","D",1,0,0,"Passed senate"
"2874","SRES304","2017-10-25","Recognizing the growth and importance of minority women-owned businesses.","commerce","D",0,1,0,"Introduced"
"2876","SRES720","2018-12-11","Expressing the condolences of the House of Representatives and honoring the memory of the victims of the shooting at Mercy Hospital and Medical Center in Chicago, Illinois, on November 19, 2018.","crime and law enforcement","D",0,1,0,"Passed senate"
"2878","SRES438","2018-03-19","A resolution commemorating the 150th anniversary of the University of California.","education","D",0,1,0,"Passed senate"
"2880","SRES731","2018-12-13","A resolution designating December 10, 2018, as ""Human Rights Day"" and recognizing the 70th anniversary of the Universal Declaration of Human Rights.","international affairs","D",5,5,0,"Passed senate"
"2891","SRES53","2017-02-07","An original resolution authorizing expenditures by the Committee on Armed Services.","congress","R",0,0,0,"Introduced"
"2892","SRES724","2018-12-13","A resolution amending rule XXXI of the Standing Rules of the Senate to limit the time during which a nomination shall be confirmed or rejected, and for other purposes.","congress","D",0,0,0,"Introduced"
"2893","SRES737","2018-12-19","A resolution recognizing the 75th anniversary of the establishment of the United States Cadet Nurse Corps and expressing the appreciation of the Senate for the contribution of the members of the United States Cadet Nurse Corps during World War II.","armed forces and national security","I",1,1,0,"Passed senate"
"2896","SRES72","2017-02-28","Celebrating the history of the Detroit River with the 16-year commemoration of the International Underground Railroad Memorial Monument, comprised of the Gateway to Freedom Monument in Detroit, Michigan, and the Tower of Freedom Monument in Windsor, Ontario, Canada.","civil rights and liberties, minority issues","D",0,1,0,"Introduced"
"2898","SRES735","2018-12-19","Expressing the sense of the House of Representatives that atrocities committed against the Rohingya by the Burmese military and security forces since August 2017 constitute crimes against humanity and genocide and calling on the Government of Burma to release Burmese journalists Wa Lone and Kyaw Soe Oo sentenced to seven years imprisonment after investigating attacks against civilians by the Burmese military and security forces, and for other purposes","international affairs","D",2,2,0,"Introduced"
"2903","SRES727","2018-12-13","A resolution providing for consideration of changes to rules for the proceedings of the Senate.","congress","D",0,0,0,"Introduced"
"2904","SRES114","2017-04-05","A resolution expressing the sense of the Senate on humanitarian crises in Nigeria, Somalia, South Sudan, and Yemen.","international affairs","R",3,4,0,"Passed senate"
"2912","SRES12","2017-01-12","Expressing the sense of the House of Representatives that clean water is a national priority, and that the June 29, 2015, Waters of the United States Rule should be withdrawn or vacated.","environmental protection","R",1,0,0,"Introduced"
"2914","SRES739","2018-12-20","A resolution congratulating the Maryland Terrapins men's soccer team of the University of Maryland, College Park for winning the 2018 National Collegiate Athletic Association Division I men's soccer national championship.","sports and recreation","D",0,1,0,"Passed senate"
"2916","SRES729","2018-12-13","A resolution amending rule XV of the Standing Rules of the Senate to provide for consideration of a minimum number of amendments.","congress","D",0,0,0,"Introduced"
"2917","SRES738","2018-12-19","A resolution expressing the sense of the Senate that the United States should continue its limited military activities within Syria and that ending such activities at this time would embolden ISIS, Bashar al-Assad, Iran, and Russia and put our Kurdish allies in great jeopardy.","international affairs","R",14,3,1,"Introduced"
"2936","SRES74","2017-03-01","Congratulating the State of Nebraska on the 150th anniversary of the admission of that State into the United States.","government operations and politics","R",1,0,0,"Passed senate"
"2938","SRES745","2019-01-02","A resolution commemorating the 100th anniversary of the Armistice Agreement, the 100th anniversary of the return of the Unknown Solider, and the 100th anniversary of the Tomb of the Unknown Solider.","international affairs","R",0,0,0,"Introduced"
"2939","SRES741","2018-12-22","A resolution expressing the sense of the Senate on the letter of resignation of Secretary of Defense James Mattis and on the decision of President Trump to rapidly withdraw United States forces from Syria.","international affairs","D",0,6,0,"Introduced"
"2946","SRES744","2019-01-02","Recognizing May 3, 2018, as the 30th anniversary of the National Day of Prayer established under the Act entitled ""An Act to provide for setting aside the first Thursday in May as the date on which the National Day of Prayer is celebrated"", approved May 5, 1988, which was signed by President Ronald Reagan on May 5, 1988.","arts, culture, religion","R",11,1,1,"Introduced"
"2960","SRES740","2018-12-20","A resolution honoring the life of Admiral James A. Lyons.","armed forces and national security","R",0,0,0,"Introduced"
"2961","SRES747","2019-01-02","Recognizing the opening of the Museum of the Bible in Washington, D.C., the only museum of its size and scope in the world devoted exclusively to the Bible.","arts, culture, religion","R",10,1,0,"Introduced"
"2973","SRES11","2017-01-10","Encouraging the development of best business practices to fully utilize the potential of the United States.","labor and employment","R",4,3,0,"Introduced"
"2981","SRES257","2017-09-14","Designating September 16, 2017, as ""Isaac M. Wise Temple Day"".","arts, culture, religion","D",1,0,0,"Passed senate"
"2983","SRES128","2017-04-07","A resolution designating April 2017 as ""National Congenital Diaphragmatic Hernia Awareness Month"".","health","D",1,0,0,"Passed senate"
"2985","SRES75","2017-03-01","Recognizing the 100th anniversary of the Academy of Nutrition and Dietetics, the world's largest organization of food and nutrition professionals.","health","R",4,8,1,"Passed senate"
"2999","SRES733","2018-12-19","Calling on the Government of Cameroon, armed separatist groups, and all citizens to respect human rights and adopt nonviolent approaches to conflict resolution.","international affairs","D",1,5,0,"Introduced"
"3006","SRES120","2017-04-06","A resolution designating April 20, 2017, as ""National Alternative Fuel Vehicle Day.""","transportation and public works","D",1,0,0,"Introduced"
"3008","SRES743","2018-12-22","A resolution congratulating the International Association of Fire Fighters on the 100th anniversary of its founding.","emergency management","D",1,2,0,"Passed senate"
"3012","SRES746","2019-01-02","A resolution calling for a prompt multinational freedom of navigation operation in the Black Sea and urging the cancellation of the Nord Stream 2 pipeline.","international affairs","R",37,29,0,"Introduced"
"3079","SRES742","2018-12-22","A resolution designating the first week of December 2018, and supporting the designation of each first week of December thereafter, as ""Cancer Screen Week"", identifying the burden of cancer in the United States, and encouraging people to talk with their healthcare providers about appropriate screenings for the prevention and early detection of cancer.","health","D",1,0,0,"Passed senate"
"3081","SRES726","2018-12-13","A resolution amending rule XXVIII of the Standing Rules of the Senate to provide for timely establishment of conference committees.","congress","D",0,0,0,"Introduced"
"3082","SRES504","2018-05-10","A resolution designating May 11, 2018, as Military Spouse Appreciation Day.","armed forces and national security","D",1,0,0,"Introduced"
"3084","SRES180","2017-05-25","Condemning the violence against peaceful protesters outside the Turkish Ambassador's residence on May 16, 2017, and calling for the perpetrators to be brought to justice and measures to be taken to prevent similar incidents in the future.","international affairs","D",0,0,0,"Introduced"
"3085","SRES659","2018-09-27","Expressing support for the designation of September 2017 as National Ovarian Cancer Awareness Month.","health","D",0,5,1,"Introduced"
"3092","SRES87","2017-03-15","A resolution expressing the sense of the Senate concerning the ongoing conflict in Syria as it reaches its six-year mark in March, the ensuing humanitarian crisis in Syria and neighboring countries, the resulting humanitarian and national security challenges, and the urgent need for a political solution to the crisis.","international affairs","D",2,6,0,"Introduced"
"3101","SRES349","2017-12-06","A resolution commemorating the 100th Anniversary of the 2d Infantry Division.","armed forces and national security","D",2,1,0,"Introduced"
"3105","SRES378","2018-01-23","A resolution congratulating the National Treasury Employees Union on its 80th anniversary and commending the dedication to Federal employees of and continued service by the National Treasury Employees Union and the members of the National Treasury Employees Union.","government operations and politics","D",0,0,0,"Introduced"
"3106","SRES191","2017-06-15","A resolution designating June 20, 2018, as ""American Eagle Day"" and celebrating the recovery and restoration of the bald eagle, the national symbol of the United States.","animals","R",4,2,0,"Passed senate"
"3113","SRES657","2018-09-27","Expressing support for designation of the week of September 23 through 29, 2018, as National Adult Education and Family Literacy Week.","education","D",2,5,0,"Passed senate"
"3121","SRES487","2018-04-26","Affirming a commitment to elevate the voices, leadership, and needs of historically and currently disenfranchised and underserved communities in the effort to end sexual violence and support all survivors of sexual violence, including immigrant survivors, survivors with disabilities, survivors of color, survivors of child sexual abuse, and lesbian, gay, bisexual, and transgender survivors.","native americans","D",0,3,0,"Introduced"
"3125","SRES245","2017-08-03","A resolution calling on the Government of Iran to release unjustly detained United States citizens and legal permanent resident aliens, and for other purposes.","international affairs","R",5,4,0,"Passed senate"
"3135","SRES471","2018-04-17","A resolution designating March 29, 2017, as ""Vietnam Veterans Day"".","armed forces and national security","R",0,1,0,"Passed senate"
"3137","SRES491","2018-04-26","Recognizing the Independent Transportation Network of America on the occasion of providing 1,000,000 rides to older and visually challenged people of the United States.","transportation and public works","R",0,0,1,"Passed senate"
"3139","SRES472","2018-04-17","A resolution designating April 5, 2017, as ""Gold Star Wives Day"".","armed forces and national security","R",2,1,0,"Passed senate"
"3143","SRES470","2018-04-17","A resolution expressing the sense of the Senate that electricity markets do not appropriately value the reliability and resilience attributes of baseload power generation serving the bulk power system.","energy","D",0,0,0,"Introduced"
"3144","SRES473","2018-04-18","Expressing no confidence in the Administrator of the Environmental Protection Agency and calling for the immediate resignation of the Administrator.","environmental protection","D",0,37,1,"Introduced"
"3183","SRES119","2017-04-06","COST Savings Resolution","congress","R",0,1,0,"Introduced"
"3185","SRES475","2018-04-18","A resolution commemorating the 60th anniversary of the North American Aerospace Defense Command.","armed forces and national security","R",0,1,0,"Passed senate"
"3187","SRES478","2018-04-19","A resolution designating the week of April 15, 2017, through April 23, 2017, as ""National Park Week"".","public lands and natural resources","R",14,12,2,"Passed senate"
"3216","SRES149","2017-05-02","A resolution supporting the goals and ideals of World Malaria Day.","international affairs","R",0,1,0,"Passed senate"
"3218","SRES572","2018-07-11","Supporting the officers and personnel who carry out the important mission of the United States Immigration and Customs Enforcement.","immigration","R",39,1,0,"Introduced"
"3259","SRES477","2018-04-19","A resolution recognizing and celebrating the National Comedy Center being built at 203-217 West Second Street, Jamestown, New York.","arts, culture, religion","D",0,1,0,"Introduced"
"3261","SRES48","2017-02-06","An original resolution authorizing expenditures by the Select Committee on Intelligence.","congress","R",0,0,0,"Introduced"
"3262","SRES483","2018-04-25","Recognizing the contributions of senior volunteers.","labor and employment","D",1,12,0,"Passed senate"
"3276","SRES500","2018-04-26","A resolution to authorize representation by the Senate Legal Counsel in the case of Peter P. Truman v. Paula Armstrong, et al.","congress","R",0,1,0,"Passed senate"
"3278","SRES505","2018-05-10","Recognizing the roles and contributions of America's teachers to building and enhancing the Nation's civic, cultural, and economic well-being.","education","R",9,22,2,"Passed senate"
"3312","SRES485","2018-04-25","Honoring the life of First Lady Barbara Bush.","government operations and politics","R",50,47,2,"Passed senate"
"3412","SRES484","2018-04-25","A resolution supporting the designation of April 2017 as ""Parkinson's Awareness Month"".","health","R",0,1,0,"Passed senate"
"3414","SRES460","2018-04-12","Condemning Boko Haram and calling on the Governments of the United States of America and Nigeria to swiftly implement measures to defeat the terrorist organization.","international affairs","D",1,9,0,"Introduced"
"3425","SRES488","2018-04-26","A resolution honoring the 100th anniversary of Fort Benning in Columbus, Georgia.","armed forces and national security","R",1,0,0,"Introduced"
"3427","SRES492","2018-04-26","A resolution supporting the goals and ideals of National Safe Digging Month.","science, technology, communications","R",1,2,0,"Passed senate"
"3431","SRES534","2018-06-05","A resolution supporting the goals and ideals of National Travel and Tourism Week and honoring the valuable contributions of travel and tourism to the United States.","transportation and public works","R",1,1,0,"Passed senate"
"3434","SRES494","2018-04-26","A resolution congratulating the Hoosiers of Indiana University for winning the 2018 Women's National Invitation Tournament.","education","D",1,0,0,"Passed senate"
"3436","SRES493","2018-04-26","A resolution congratulating the Fighting Irish of the University of Notre Dame women's basketball team for winning the 2018 National Collegiate Athletic Association Division I women's basketball championship.","sports and recreation","D",1,0,0,"Passed senate"
"3438","SRES497","2018-04-26","A resolution recognizing the cultural and historical significance of the Cinco de Mayo holiday.","international affairs","D",3,9,0,"Passed senate"
"3451","SRES507","2018-05-15","A resolution recognizing the importance of the goal of National Women's Health Week to empower adolescent girls and women of all ages to make informed choices about their sexual activity and effective steps to prevent against HIV.","health","D",0,0,0,"Introduced"
"3452","SRES45","2017-02-03","A resolution designating February 2018 as ""American Heart Month"" and February 2, 2018, as ""National Wear Red Day"".","health","D",4,12,0,"Passed senate"
"3469","SRES496","2018-04-26","Designating April 30, 2017, as El Dia de Los Ninos-Celebrating Young Americans.","families","D",3,8,0,"Passed senate"
"3481","SRES495","2018-04-26","Expressing the sense of the House of Representatives that public servants should be commended for their dedication and continued service to the United States during Public Service Recognition Week, the week of May 6 through 12, 2018.","government operations and politics","D",2,17,2,"Passed senate"
"3503","SRES499","2018-04-26","Recognizing and supporting the goals and ideals of ""National Sexual Assault Awareness and Prevention Month"".","crime and law enforcement","R",0,1,0,"Passed senate"
"3505","SRES535","2018-06-06","A resolution reaffirming the United States commitment to the North Atlantic Treaty Organization.","international affairs","D",0,7,0,"Introduced"
"3513","SRES593","2018-07-25","A resolution honoring the life and legacy of Grace Hopper, professor, inventor, entrepreneur, business leader, and Rear Admiral of the Navy.","armed forces and national security","D",1,0,0,"Passed senate"
"3515","SRES62","2017-02-16","An original resolution authorizing expenditures by committees of the Senate for the periods March 1, 2017 through September 30, 2017, October 1, 2017 through September 30, 2018, and October 1, 2018 through February 28, 2019.","congress","R",0,0,0,"Passed senate"
"3516","SRES502","2018-05-09","Supporting robust relations with the State of Israel bilaterally and in multilateral fora upon seventy years of statehood, and for other purposes.","international affairs","R",4,4,0,"Introduced"
"3525","SRES50","2017-02-06","Reaffirming a strong commitment to the United States-Australia alliance relationship.","international affairs","D",4,9,0,"Introduced"
